"pretty","5%","50%","95%","signif","category","sd"
"Ag",-0.00625006718402222,0.098816245036141,0.239982218686227,FALSE,"LULC",0.08
"",NA,NA,NA,NA,"LULC",NA
"Max depth",-0.459682928229694,-0.393041721439471,-0.328114849623762,TRUE,"Lake",0.04
"Watershed-lake ratio",0.0610893943557753,0.122570926056373,0.183395782859479,TRUE,"Lake",0.04
"Buffer Ag",0.0205107573112518,0.121991220300809,0.216169302413433,TRUE,"Buffer",0.06
"Buffer Natural",-0.152172510003466,-0.0610137110898056,0.00868336863790946,FALSE,"Buffer",0.05
"Baseflow",-0.484730515933841,-0.348330946696612,-0.202056387766626,TRUE,"Nutrient transport",0.08
"Clay",-0.0364884004323106,0.0305364000231811,0.15272211337832,FALSE,"Nutrient transport",0.06
"Precipitation",-0.198925897271564,-0.0593374359325113,0.0236888703866346,FALSE,"Nutrient transport",0.07
"Soil organic carbon",-0.13224844240505,-0.0278266662182373,0.033723777334605,FALSE,"Nutrient transport",0.05
"Wetland potential",-0.052534297897698,0.000237807388721471,0.0572078124340494,FALSE,"Nutrient transport",0.03
"Fertilizer N",-0.0901265798623443,0.0924261458068109,0.57245968978719,FALSE,"Nutrient inputs",0.23
"Fertilizer P",-0.177423588024472,0.0360731259319351,0.519207107155004,FALSE,"Nutrient inputs",0.24
"Manure N",-1.04238830522429,-0.366499876553311,0.0404158907514138,FALSE,"Nutrient inputs",0.36
"Manure P",-0.703748675420917,-0.0437771748062801,0.24157990985883,FALSE,"Nutrient inputs",0.3
"N Deposition",-0.0931099086536534,-0.000363904704938552,0.0964181795928592,FALSE,"Nutrient inputs",0.06
