"lagoslakeid","nhd_long","nhd_lat","tp","tn","no2no3","chla","iws_ha","hu4_zoneid","hu12_zoneid","lake_area_ha","maxdepth","iwsla_ratio","hu12_ppt_mean","hu12_ppt_std","hu12_baseflow_mean","hu4_nitrogen_atmospheric_deposition","hu4_clay_pct"
5763,-71.167921,43.56342,6.6,NA,50,NA,700.1421388,"HU4_9","HU12_16990",96.75036906,12.2,7.23658364926551,1139.652,21.6624,61.7338,2.7324,0
5848,-71.984049,42.976247,11,NA,NA,NA,76.55031247,"HU4_9","HU12_17008",16.01729193,5.5,4.77922939811212,1231.6224,20.1887,44.78,2.7324,0
5720,-72.005188,43.400665,10.5,NA,NA,NA,564.202841,"HU4_9","HU12_17019",29.0154011,7.6,19.4449437061203,1220.3776,12.3651,50.1774,2.7324,0
6129,-71.55883,43.504211,44,NA,NA,NA,25.92233974,"HU4_9","HU12_17000",6.638351002,7,3.90493659226367,1151.9147,15.9666,63.9712,2.7324,0
5778,-71.821774,43.130095,6.45,NA,50,NA,372.2874154,"HU4_9","HU12_17039",34.43191297,9.2,10.8122780086128,1232.4381,7.6861,47.1127,2.7324,0
21588,-71.234231,43.381797,21,NA,NA,NA,756.0449749,"HU4_9","HU12_17034",60.19546848,3,12.559832060302,1140.1411,21.3756,59.7869,2.7324,0
5854,-71.775683,43.191789,16.5,NA,NA,NA,88.12421,"HU4_9","HU12_17016",15.70224973,11.8,5.6122028063045,1199.9104,18.2495,48.9701,2.7324,0
1229,-72.398109,43.47235,6,NA,NA,NA,11329.62786,"HU4_7","HU12_17183",22.7714949,7.9248,497.535533339096,1142.5978,56.4712,47.3361,2.8731,0
4742,-72.09915,44.187891,27.8999996,NA,NA,11.25,550.644509,"HU4_7","HU12_17175",22.24601834,15.5448,24.752497304648,1070.8306,42.2359,48.6533,2.8731,0
4356,-72.123276,44.085892,15.6499996,NA,NA,3.93500005,266.0201313,"HU4_7","HU12_17669",34.47811596,9.144,7.71562261721681,1033.4972,44.8913,48.7595,2.8731,0
5901,-72.289193,43.118312,10,NA,50,NA,1176.186208,"HU4_7","HU12_17153",78.965378,4.2,14.8949607763544,1148.9618,38.6285,45.0196,2.8731,0
5565,-72.248111,44.445497,14.3999996,NA,NA,3.515,83.06310424,"HU4_7","HU12_17168",14.64814404,6.7056,5.67055485071541,1172.7379,86.6003,46.964,2.8731,0
2703,-72.390863,43.484853,13.6999998,NA,NA,2.1900001,1571.586745,"HU4_7","HU12_17184",25.41748543,3.9624,61.8309293154968,1105.1632,46.9584,47.1685,2.8731,0
8272,-71.552093,41.422103,22.5,480,20,14.779781455,112.8223913,"HU4_10","HU12_17509",39.08902027,9.8,2.88629365793005,1293.8713,15.3256,66.8361,3.1098,0.0179
7461,-71.631065,41.425872,22,690,150,1.445,4051.423359,"HU4_10","HU12_17512",31.60592568,5,128.185562416978,1280.5018,23.4249,67.6182,3.1098,0.0179
7647,-71.550046,41.887301,34,480,15,21.08625,340.7517295,"HU4_10","HU12_17488",9.996634043,3.5,34.0866463685951,1267.4952,10.6378,55.5221,3.1098,0.0179
7545,-71.718352,41.442936,16,550,230,2.17911187,3631.54759,"HU4_10","HU12_16347",17.84370101,4.2,203.519863281995,1223.8558,9.1848,66.2466,3.1098,0.0179
7540,-71.542433,41.499841,18,605,180,14.3,1984.229587,"HU4_10","HU12_17509",34.37171876,11.6,57.7285529668985,1293.8713,15.3256,66.8361,3.1098,0.0179
8057,-71.549003,41.752966,12,350,20,5.3172915165,215.1375205,"HU4_10","HU12_17495",12.29426691,7.3,17.4990116999176,1244.8243,8.6301,58.9722,3.1098,0.0179
6767,-73.474577,41.902747,16,367,375.5,3.424,1705.578947,"HU4_11","HU12_16329",85.45551705,9.8,19.9586756464427,1152.1887,9.1091,50.0588,3.1596,0
6684,-71.904219,41.954327,NA,900,100,7.2,16888.71418,"HU4_11","HU12_16312",76.60102684,6.1,220.476341854741,1230.4669,14.4038,50.9683,3.1596,0
6733,-73.363061,41.697026,14,350,5,7.416,3355.604848,"HU4_11","HU12_16263",259.3295983,12.2,12.9395366745532,1258.5562,9.9421,48.8406,3.1596,0
4388,-73.23297,42.932628,23.8499994,NA,NA,8.4199996,3889.8691,"HU4_12","HU12_17221",14.19807671,7.0104,273.971551179202,1202.1359,117.2234,50.0927,3.1182,1.3301
5378,-73.202965,43.433237,18.9499998,NA,NA,3.05500005,541.9478727,"HU4_5","HU12_17224",69.10846724,1.524,7.84198947457368,1163.3882,95.7444,47.0597,3.1164,0
4571,-72.115828,44.953104,7.79,NA,200,1.35,305.9938619,"HU4_5","HU12_20323",85.64723412,5.7912,3.57272321802328,1155.473,20.9558,45.6739,3.1164,0
4995,-72.102106,44.926478,12,NA,NA,2.05,6401.456966,"HU4_5","HU12_20323",314.2192512,21.336,20.3725804245058,1155.473,20.9558,45.6739,3.1164,0
894,-72.394438,44.639324,113,NA,50,26,162.650877,"HU4_5","HU12_17652",11.02911581,2.1336,14.7474085685569,1160.8638,40.5916,45.84,3.1164,0
5397,-72.233971,44.719052,17,NA,50,6.7249999,2097.451838,"HU4_5","HU12_17651",102.4488903,13.716,20.47315331438,1157.4442,30.6985,45.0368,3.1164,0
5306,-72.234177,44.746536,26,NA,NA,NA,557.9328349,"HU4_5","HU12_17651",22.71511083,9.144,24.5621885394076,1157.4442,30.6985,45.0368,3.1164,0
4913,-72.171469,44.935113,14.8000002,NA,70,4.6500001,1738.073677,"HU4_5","HU12_20323",75.28001678,6.096,23.0881148987969,1155.473,20.9558,45.6739,3.1164,0
4438,-73.133201,44.250372,12.1999998,NA,50,2.3099999,232.3218745,"HU4_5","HU12_17642",51.71530284,3.9624,4.49232358203087,997.6954,34.8782,45.9907,3.1164,0
4465,-73.159602,44.38758,120,NA,NA,8.5299997,1780.902116,"HU4_5","HU12_17613",193.9542743,7.62,9.18207202407604,999.5367,28.6302,46.3393,3.1164,0
4484,-72.495912,44.383202,18,NA,50,5.5799999,315.1621118,"HU4_5","HU12_17596",30.84730446,9.4488,10.2168444639522,1066.4456,69.7549,47.7037,3.1164,0
5564,-73.084184,44.370142,18.1499996,NA,NA,7.16499995,785.3916139,"HU4_5","HU12_17643",99.94861587,11.2776,7.85795388023716,991.6544,48.2307,45.6496,3.1164,0
5073,-72.501375,44.352693,22,NA,50,5.4699998,221.4507577,"HU4_5","HU12_17596",12.78437115,4.572,17.3219906635768,1066.4456,69.7549,47.7037,3.1164,0
2537,-73.052027,43.364211,19,NA,NA,4.0100002,144.9394663,"HU4_5","HU12_17568",26.35518169,1.8288,5.49946754322679,1431.2377,112.312,46.0114,3.1164,0
5147,-73.085813,44.351679,15.3999996,NA,NA,3.125,528.1611616,"HU4_5","HU12_17643",18.18695464,3.048,29.040659750609,991.6544,48.2307,45.6496,3.1164,0
1134,-73.119966,44.553668,34,NA,NA,16.73999975,396.7725573,"HU4_5","HU12_17645",77.46883176,12.8016,5.12170570132269,1036.8945,54.0321,48.6515,3.1164,0
838,-72.444159,44.308741,16.2000008,NA,NA,1.905,7515.778667,"HU4_5","HU12_17596",16.83992667,3.6576,446.307089946491,1066.4456,69.7549,47.7037,3.1164,0
4337,-72.443523,44.395901,10.1000004,NA,NA,1.87,152.2201185,"HU4_5","HU12_17596",35.52993826,32.3088,4.28427759671542,1066.4456,69.7549,47.7037,3.1164,0
