"Model","Estimate","re_signif"
"tp",0.18,NA
"tp_depth",0.39,NA
"tp_bf",0.5,NA
"tp_nfert",0.51,NA
"tp_buffer",0.51,NA
"tn",0.2,NA
"tn_depth",0.29,NA
"tn_sc",0.34,NA
"tn_nfert",0.43,NA
"tn_buffer",0.44,NA
"tn_ndep",0.45,NA
"tp_ag",0.62,FALSE
"tp_forest",0.62,FALSE
"tp_wetlands",0.62,FALSE
"tp_rowcrop",0.62,FALSE
"tp_pasture",0.62,FALSE
"tp_soybeans",0.62,FALSE
"tp_corn",0.62,FALSE
"tn_ag",0.56,TRUE
"tn_forest",0.53,FALSE
"tn_wetlands",0.52,FALSE
"tn_rowcrop",0.57,TRUE
"tn_pasture",0.53,FALSE
"tn_corn",0.58,TRUE
"tn_soybeans",0.53,TRUE
